index	trigger	syllables	flag	preview
137	line-end	276		འཕགས་མ་ཉིད་དང་ལྷན་ཅིག་གཤེགས་པའི་རྒྱལ་བ་སྲས་དང་བཅས་པ་བྱེ་བ་ཕྲག་བདུན་ཞེས་མང་བའི་དོ
138	line-end	35		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། གཞན་པ་རྣམས་ཀྱི་དོན་དུ་སྒྲོལ་མ་ལ་བསྟོད་ཅིང
139	verse-stanza	31		གཉིས་གསུམ་བདུན་དུ་མངོན་པར་བརྗོད་ན། །↵བུ་འདོད་པས་ནི་བུ་ཐོབ་འགྱུར་ཞིང་། །↵ནོར་འདོད
140	line-end	225		བགེགས་རྣམས་མེད་ཅིང་སོ་སོར་འཇོམས་གྱུར་ཅིག། ཅེས་གཉིས་ཞེས་ཉིན་མཚན་གཉིས་ལ། གསུམ་ཞེས་
141	line-end	60		སྒྲོལ་མའི་བསྟོད་འགྲེལ་འཕགས་མའི་བྱིན་རླབས་འགུགས་པའི་ལྕགས་ཀྱུ། སོགས་པའི་ཕན་ཡོན་མཐའ
142	verse-stanza	25		དེ་ལྟར་སྒྲོལ་བསྟོད་ཡིད་བཞིན་དབང་གི་རྒྱལ།།↵ཅུང་ཙམ་འགྲེལ་བས་བྱི་དོར་བྱས་པའི་དགེས།།
143	line-end	95		བདེ་བླག་ཉིད་དུ་འགྲུབ་པའི་རྒྱུར་གྱུར་ཅིག། ཅེས་སྒྲོལ་མའི་བསྟོད་པ་ཕྱག་འཚལ་ཉེར་གཅིག་
144	line-end	18		༄༅། །སྒྲོལ་མ་ཉེར་གཅིག་གི་བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར་ཞེས་བྱ་བ་བཞུགས་
145	line-end	10		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར །ཨོཾ་སྭ་སྟི།
146	verse-stanza	25		གང་འདུལ་གདུལ་བྱའི་མོས་ཁམས་དྭངས་མའི་ངོར།།↵རྣམ་འཕྲུལ་སྣ་ཚོགས་གཟུགས་ཀྱི་ལང་ཚོ་ཉིད།།
147	line-end	53		བཏུད་ནས་ཕྲིན་ལས་དཔལ་སྟེར་འདི་ན་སྤྲོ། འདིར་དེ་བཞིན་གཤེགས་པ་རྣམ་པར་སྣང་མཛད་ཀྱི་ཞལ་
148	verse-stanza	22		སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །↵འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །↵གེ་སར་བྱ
149	line-end	145		ཞེས་པས་ཤློོ་ཀ་དང་པོས་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ་ལ་བསྟོད་ཅིང་ཕྱག་འཚལ་བ་ནི། གང་ལ་ཕྱག་འཚ
150	line-end	65		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། ཤེས་བྱ་ཐམས་ཅད་སྐད་ཅིག་གཅིག་ལ་མཁྱེན་པའི་ཡེ
151	verse-stanza	28		ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །↵གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །↵སྐར་མ་སྟོང་ཕྲག་ཚ
152	verse-stanza	13		ཞེས་གང་ལ་ཕྱག་འཚལ་ན།↵སྒྲོལ་མ་བློ་གཏེར་དབྱངས་ཅན་མ་ལའོ། །
153	line-end	114		ལྷ་མོ་དེ་ནི་སྐུ་མདོག་སྟོན་ཀའི་ཟླ་བ་ལྟ་བུའི་མདོག་དང་ཞལ་རས་ཉ་ཀུན་ཏུ་གང་བ་བརྒྱ་བརྩེ
154	verse-stanza	28		ཕྱག་འཚལ་སེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། །↵པདྨའི་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །↵སྦྱིན་པ་བརྩོན་
155	line-end	43		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། སེར་མོ་སྟོབས་བསྐྱེད་མ་དེ་ནི་སྐུ་མདོག་གསེར་ལྟར་སེར་ཞིང་ཤིན་ཏུ
156	line-end	68		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར། ཆར་འབེབས་པའི་ནོར་བུས་ཕྱག་གཡོན་ན་རྣམ་པར་
157	verse-stanza	29		ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །↵མཐའ་ཡས་རྣམ་པར་རྒྱལ་བ་སྤྱོད་མ།↵མ་ལུས་ཕ་རོལ་
158	line-end	122		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། འཆི་མེད་ཚེ་སྒྲུབ་པ་གཙུག་ཏོར་རྣམ པར་རྒྱལ་མ་སྐུ་མདོག་གསེར་གྱི་
159	verse-stanza	28		ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེ། །↵འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། །↵འཇིག་རྟེན་བདུན་པོ་
160	line-end	28		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། དབང་སྡུད་རིག་བྱེད་ལྷ་མོ་ལ་དེ་ནི་སྐུ་མདོག་དམར་མོ་ཆགས་པའི་འོད་
161	line-end	117		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། སྙིང་རྗེ་ཆེན་པོ་ཟུང་དུ་འཇུག་པ་མཚོན་པའི་ཧཱ
162	verse-stanza	30		ཕྱག་འཚལ་བརྒྱ་བྱིན་མེ་ལྷ་ཚངས་པ། །↵རླུང་ལྷ་སྣ་ཚོགས་དབང་ཕྱུག་མཆོད་མ།↵འབྱུང་པོ་རོ་ལང
163	line-end	138		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། གདོན་རིགས་རྣམས་འཇོམས་མ་སྒྲོལ་མ་འཇིགས་བྱེད་ཆེན་མོ་དེ་ནི་སྐུ་མ
164	line-end	40		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར ཚོགས་ཟིལ་གྱིས་མནན་ནས་འཇོམས་པར་བྱེད་པས་དེ
165	verse-stanza	29		ཕྱག་འཚལ་ཏྲཊ་ཅེས་བྱ་དང་ཕཊ་ཀྱིས། །↵ཕ་རོལ་འཁྲུལ་འཁོར་རབ་ཏུ་འཇོམས་མ། །↵གཡས་བསྐུམ་གཡོ
166	line-end	167		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། དམག་དང་ཐོག་སེར་འཇོམས་པར་བྱེད་པའི་སྒྲོལ་མ་གཏུམ་མོ་གཞན་གྱིས་མི
167	verse-stanza	29		ཕྱག་འཚལ་ཏུ་རེ་འཇིགས་པ་ཆེན་པོས། །↵བདུད་ཀྱི་དཔའ་བོ་རྣམ་པར་འཇོམས་མ། །↵ཆུ་སྐྱེས་ཞལ་ན
168	line-end	172		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། ཞེས་གང་ལ་ཕྱག་འཚལ་། གཞན་རྒོལ་མཚང་འབྲུ་སོགས
169	verse-stanza	29		ཕྱག་འཚལ་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི། །↵སོར་མོས་ཐུགས་ཀར་རྣམ་པར་བརྒྱན་མ། །↵མ་ལུས
170	line-end	92		ཞེས་གང་ལ་ཕྱག་འཚལ་ན། འཇིགས་པའི་ཚོགས་ཐམས་ཅད་ལས་སྐྱོབ་པར་མཛད་མ་སེང་ལྡེང་ནགས་ཀྱི་སྒྲ
171	line-end	37		བསྟོད་འགྲེལ་འདོད་རྒུའི་ཕྲིན་ལས་དཔལ་སྟེར། བཀྲ་བའི་ཕྱག་གི་འཁོར་ལོས་བརྒྱན་པ་རང་གི་འ
172	verse-stanza	28		ཕྱག་འཚལ་རབ་ཏུ་དགའ་བ་བརྗིད་པའི། །↵དབུ་རྒྱན་འོད་ཀྱི་འཕྲེང་བ་སྤེལ་མ། །↵བཞད་པ་རབ་བཞད
173	terminal-particle	152		ཞེས་གང་ལ་ཕྱག་འཚལ་ན་འཇིག་རྟེན་དབང་དུ་བྱེད་པ་སྒྲོལ་མ་འཇིག་རྟེན་གསུམ་རྒྱལ་སྐུ་མདོག་
