approve	line	number	col	attached_to	context
Y	12	15	132	TARAC	source_description: "Known-metadata title/author from the team's dkar-chag (སྒྲོལ་མ་ཉེར་གཅིག་དཀར་ཆག.xlsx, sheet_row 15, siglum TARAC15_SNT); raw OCR/segmentation export received into 0-INBOX/raw-data/སྒྲོལ་མ་ཉེར་གཅིག/R49348A41 རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་འགྲེལ་དང་དམིགས་རིམ་ཉུང་ངུར་བཀོད་པ་འཕགས་མའི་བྱིན་རླབས་གྲུ་ཆར་བཞུགས།།-Segmentation.txt" ^0-12
Y	12	49348	218	0-INBOX/raw-data/སྒྲོལ་མ་ཉེར་གཅིག/R	source_description: "Known-metadata title/author from the team's dkar-chag (སྒྲོལ་མ་ཉེར་གཅིག་དཀར་ཆག.xlsx, sheet_row 15, siglum TARAC15_SNT); raw OCR/segmentation export received into 0-INBOX/raw-data/སྒྲོལ་མ་ཉེར་གཅིག/R49348A41 རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་འགྲེལ་དང་དམིགས་རིམ་ཉུང་ངུར་བཀོད་པ་འཕགས་མའི་བྱིན་རླབས་གྲུ་ཆར་བཞུགས།།-Segmentation.txt" ^0-12
Y	12	41	224	0-INBOX/raw-data/སྒྲོལ་མ་ཉེར་གཅིག/R49348A	source_description: "Known-metadata title/author from the team's dkar-chag (སྒྲོལ་མ་ཉེར་གཅིག་དཀར་ཆག.xlsx, sheet_row 15, siglum TARAC15_SNT); raw OCR/segmentation export received into 0-INBOX/raw-data/སྒྲོལ་མ་ཉེར་གཅིག/R49348A41 རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་འགྲེལ་དང་དམིགས་རིམ་ཉུང་ངུར་བཀོད་པ་འཕགས་མའི་བྱིན་རླབས་གྲུ་ཆར་བཞུགས།།-Segmentation.txt" ^0-12
Y	13	49348	11	"R	book_id: "R49348A41" ^0-13
Y	13	41	17	"R49348A	book_id: "R49348A41" ^0-13
Y	141	༢༡	330	འདི་སྒྲོལ་མ་	གསལ་འདེབས་ཚུལ་ནི། འཇིགས་པའི་ཚོགས་ཀུན་ལས་སྐྱོབ་པའི་སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མ་འདི་ཉིད་སྐུ་མདོག་ལྗང་སྔོན། པད་ཟླའི་སྟེང་དུ་ཞབས་ཕྱེད་སྐྱིལ། ཞལ་གཅིག་ཕྱག་གཉིས། གཡས་མཆོག་སྦྱིན། གཡོན་ཨུཏྤལ་འཛིན་པའི་སྟེང་ན། འཁོར་ལོ་འོད་ཟེར་འབར་བ་སྐུ་དང་འཁོར་ལོ་ལས་འོད་ཟེར་འཕྲོས་པས།འཁོར་བའི་འཇིགས་པ་བཅུདྲུག་ལས་སྐྱོབས་པར་བསྒོམས་པ་ནི་དམིགས་རིམ་ཡིན། འདི་སྒྲོལ་མ་༢༡་ལས་གཙོ་མོ་ཡིན། ^0-61
Y	201	༥	194	གཞི་ཉིད།	32 ཞལ་ཁྲོ་གཉེར་གྱི་ཉམས་ཅན་དང་ལྡན་པར་མཛད་ནས། ཡི༷་གེ་ཧཱུཾ་གི་སྒྲ་རབ་ཏུ་སྒྲོགས་པས་འོད་ཟེར་རྡོ་རྗེའི་མེ་ཆར་དག་གིས། ས་འོག་རིམ་པ༵་བདུན་པོ་སྟེ། ༡མི་མ་ཡིན་གྱི་གཞི། ༢ ལྷག་པའི་གཞི། ༣ གཞི་མེད་པ། ༤ གཞི་ཉིད།༥ བཅུད་ཀྱི་གཞི། ༦ གཞི་བཟང་པོ། ༧ དག་པའི་གཞི་བཅས་ཡན་གྱི་གདུག་པ་ཅན་དམ་སྲི་རྣམས་ཀྱི་ནི་སྙིང་དང་མགོ་བོ་འགེམ་སྟེ་སྐྱེ་བ་མེད་པ་ཡུམ་ཆེན་མོའི་ངང་དུ་བརྒྱལ་བར་མཛད་མ་ཁྱེད་ལའོ། །ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ། ། ^0-82
